baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
fairdag-ol,22,7,ol,500,3,372.5394,1224.3161,402.9951,15557.7402,
fairdag-ol,22,7,ol,1000,3,385.2498,0.0000,350.9597,15636.3545,
fairdag-ol,22,7,ol,2000,3,371.0688,0.0000,331.2923,13912.2979,
fairdag-ol,22,7,ol,4000,3,374.2316,534.3109,356.9710,14395.4163,
fairdag-ol,22,7,ol,6000,3,367.3735,1319.1026,356.0966,15283.0573,
fairdag-ol,22,7,ol,8000,3,372.1229,961.7872,366.0061,14179.5794,
fairdag-ol,22,7,ol,10000,3,365.4074,1216.8493,332.7735,14974.1575,
fairdag-ol,22,7,ol,12000,3,353.7081,991.6195,316.8612,15419.3540,
fairdag-ol,22,7,ol,15000,3,339.0431,2925.5857,342.1779,16125.2785,
fairdag-ol,10,3,ol,500,4,84.4833,688.3158,170.0439,16430.5037,
fairdag-ol,10,3,ol,1000,4,87.8676,3812.6073,142.4258,18761.7847,
fairdag-ol,10,3,ol,2000,4,87.2450,3474.2329,141.8742,19862.6335,
fairdag-ol,10,3,ol,4000,4,88.3167,3464.8811,148.0333,17338.8831,
fairdag-ol,10,3,ol,6000,4,85.4661,3701.4353,149.2606,16549.9365,
fairdag-ol,10,3,ol,8000,4,86.3189,1331.4053,141.0455,16893.3701,
fairdag-ol,10,3,ol,10000,4,85.1504,2016.1078,134.1485,17930.2988,
fairdag-ol,10,3,ol,12000,4,85.3084,217.1070,142.9246,15681.8212,
fairdag-ol,10,3,ol,15000,4,84.3078,3924.9384,145.5770,20132.1625,
fairdag-ol,16,5,ol,500,4,193.5457,71.4396,282.7667,13894.5271,
fairdag-ol,16,5,ol,1000,4,191.5741,2551.0743,263.4500,16435.1109,
fairdag-ol,16,5,ol,2000,4,193.8223,0.0000,239.5594,17198.1977,
fairdag-ol,16,5,ol,4000,4,190.6402,953.5664,257.8667,14619.0140,
fairdag-ol,16,5,ol,6000,4,186.8126,339.8052,254.3923,14901.3484,
fairdag-ol,16,5,ol,8000,4,185.2832,1011.5417,253.1644,15393.2858,
fairdag-ol,16,5,ol,10000,4,182.0409,1477.4347,253.3670,14384.3606,
fairdag-ol,16,5,ol,12000,4,183.5790,0.0000,235.1282,13775.5928,
fairdag-ol,16,5,ol,15000,4,178.4957,2950.8076,247.0870,15974.1380,
fairdag-ol,22,7,ol,500,4,358.5883,0.0000,372.0923,14171.2782,
fairdag-ol,22,7,ol,1000,4,377.6602,0.0000,364.5000,14372.4710,
fairdag-ol,22,7,ol,2000,4,387.5576,0.0000,359.0333,13644.6201,
fairdag-ol,22,7,ol,4000,4,393.1414,0.0000,362.4705,14147.9845,
fairdag-ol,22,7,ol,6000,4,351.8953,0.0000,376.3061,13710.2240,
fairdag-ol,22,7,ol,8000,4,359.0915,0.0000,328.9735,13084.0668,
fairdag-ol,22,7,ol,10000,4,348.0291,135.3653,362.8000,14869.3219,
fairdag-ol,22,7,ol,12000,4,347.2142,2115.1590,354.2500,15495.9733,
fairdag-ol,22,7,ol,15000,4,327.6823,1187.5713,323.3205,13284.4720,
fairdag-ol,10,3,ol,500,5,86.7253,1663.4902,190.3015,14654.9917,
fairdag-ol,10,3,ol,1000,5,87.9996,678.7947,147.1138,16620.6606,
fairdag-ol,10,3,ol,2000,5,86.8185,1173.3498,148.0062,17312.8292,
fairdag-ol,10,3,ol,4000,5,86.3433,1727.2867,157.9754,15994.7883,
fairdag-ol,10,3,ol,6000,5,89.2888,0.0000,148.9477,14386.8508,
fairdag-ol,10,3,ol,8000,5,87.0342,0.0000,153.4815,14031.8714,
fairdag-ol,10,3,ol,10000,5,86.3795,0.0000,138.3446,16508.8123,
fairdag-ol,10,3,ol,12000,5,85.4617,2523.5136,153.7431,17174.8681,
fairdag-ol,10,3,ol,15000,5,84.4493,3118.5813,144.6969,18206.9049,
fairdag-ol,16,5,ol,500,5,197.6239,130.0805,301.8833,13825.0313,
fairdag-ol,16,5,ol,1000,5,201.4977,0.0000,241.8833,13009.8536,
fairdag-ol,16,5,ol,2000,5,194.1258,0.0000,252.6000,14332.4163,
fairdag-ol,16,5,ol,4000,5,199.0665,799.5669,268.7333,15153.1104,
fairdag-ol,16,5,ol,6000,5,195.8446,2315.7026,245.5167,17116.3781,
fairdag-ol,16,5,ol,8000,5,193.0780,1482.0949,273.5000,15069.6473,
fairdag-ol,16,5,ol,10000,5,191.1523,2206.9781,229.6333,17685.7854,
fairdag-ol,16,5,ol,12000,5,186.4348,1655.9690,250.2568,14457.3577,
fairdag-ol,16,5,ol,15000,5,186.3517,1485.2651,255.6474,15455.6963,
fairdag-ol,22,7,ol,500,5,375.4857,0.0000,401.8667,12590.1216,
fairdag-ol,22,7,ol,1000,5,384.6006,0.0000,345.9909,12930.2534,
fairdag-ol,22,7,ol,2000,5,374.7222,240.3301,348.7225,16318.5935,
fairdag-ol,22,7,ol,4000,5,364.3485,1448.8381,344.1333,15052.7796,
fairdag-ol,22,7,ol,6000,5,360.0320,3099.3078,345.2667,16475.2263,
fairdag-ol,22,7,ol,8000,5,359.0060,1540.9963,345.9000,15330.8341,
fairdag-ol,22,7,ol,10000,5,353.8571,1147.6437,325.7217,14532.0493,
fairdag-ol,22,7,ol,12000,5,348.0273,0.0000,301.3528,11232.3057,
fairdag-ol,22,7,ol,15000,5,334.4935,0.0000,309.9784,12613.9029,
fairdag-ol,10,3,ol,20000,2,84.5303,3016.0345,137.5154,17281.3847,
fairdag-ol,10,3,ol,25000,2,84.1356,2322.4917,146.6374,16742.4294,
fairdag-ol,10,3,ol,30000,2,84.3867,3369.3911,144.7108,15530.5120,
fairdag-ol,10,3,ol,40000,2,86.8287,0.0000,119.5108,15907.5918,
fairdag-ol,10,3,ol,50000,2,86.3343,4111.0627,137.1569,16319.1909,
fairdag-ol,16,5,ol,20000,2,180.1396,1444.1430,233.1812,14664.2288,
fairdag-ol,16,5,ol,25000,2,176.8789,3194.8278,207.5333,15709.3393,
fairdag-ol,16,5,ol,30000,2,177.4311,1517.5629,219.8667,15004.5122,
fairdag-ol,16,5,ol,40000,2,171.9667,4078.0173,211.2354,16653.8470,
fairdag-ol,16,5,ol,50000,2,168.2361,4494.1167,198.2478,16418.7604,
fairdag-ol,22,7,ol,500,2,399.2807,0.0000,437.1288,13139.5794,
fairdag-ol,22,7,ol,1000,2,388.2780,0.0000,366.5697,14521.3360,
fairdag-ol,22,7,ol,2000,2,384.4374,0.0000,339.8848,15236.1426,
fairdag-ol,22,7,ol,4000,2,378.2863,0.0000,373.1629,12360.7299,
fairdag-ol,22,7,ol,6000,2,358.8671,0.0000,337.6746,13363.2864,
fairdag-ol,22,7,ol,8000,2,354.8275,0.0000,338.2659,14024.7246,
fairdag-ol,22,7,ol,10000,2,348.0253,0.0000,332.9177,15227.2245,
fairdag-ol,22,7,ol,12000,2,356.0841,3217.0184,344.3420,15957.5187,
fairdag-ol,22,7,ol,15000,2,344.8131,0.0000,322.2353,12801.3192,
fairdag-ol,22,7,ol,20000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,25000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,30000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,40000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,50000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,10,3,ol,20000,3,118.3838,492.4159,180.9958,14098.2138,
fairdag-ol,10,3,ol,25000,3,117.3189,0.0000,190.8284,13284.1720,
fairdag-ol,10,3,ol,30000,3,118.3909,554.0499,179.1915,13388.1274,
fairdag-ol,10,3,ol,40000,3,120.9105,651.9595,186.9746,14182.4131,
fairdag-ol,10,3,ol,50000,3,117.7773,0.0000,185.2455,13185.4798,
fairdag-ol,16,5,ol,20000,3,170.5052,2563.4731,222.6804,15545.9596,
fairdag-ol,16,5,ol,25000,3,166.8395,2755.1342,215.8299,14108.7870,
fairdag-ol,16,5,ol,30000,3,172.0379,2608.0154,206.0833,15222.0907,
fairdag-ol,16,5,ol,40000,3,167.5914,3418.4358,204.6545,15100.9029,
fairdag-ol,16,5,ol,50000,3,161.1817,2805.6413,185.4472,15100.5349,
fairdag-ol,22,7,ol,20000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,25000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,30000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,40000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,50000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,10,3,ol,20000,4,75.0614,316.1845,150.1317,15469.9898,
fairdag-ol,10,3,ol,25000,4,70.7473,2081.3634,161.2909,16657.3737,
fairdag-ol,10,3,ol,30000,4,71.3185,3921.4121,146.1033,16600.5606,
fairdag-ol,10,3,ol,40000,4,69.1371,0.0000,156.7167,15008.9076,
fairdag-ol,10,3,ol,50000,4,71.7549,3413.2535,154.4600,16407.9309,
fairdag-ol,16,5,ol,20000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,25000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,30000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,40000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,50000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,20000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,25000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,30000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,40000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,50000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,10,3,ol,20000,5,75.8318,1409.3875,142.7667,17420.8344,
fairdag-ol,10,3,ol,25000,5,74.8750,1408.8257,130.8739,16871.8255,
fairdag-ol,10,3,ol,30000,5,74.1008,0.0000,151.6667,16212.2029,
fairdag-ol,10,3,ol,40000,5,72.2485,1136.5422,154.9018,16626.9735,
fairdag-ol,10,3,ol,50000,5,54.1041,0.0000,99.5303,14797.0278,
fairdag-ol,16,5,ol,20000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,25000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,30000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,40000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,16,5,ol,50000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,20000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,25000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,30000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,40000,5,0.0000,0.0000,0.0000,0.0000,
fairdag-ol,22,7,ol,50000,5,0.0000,0.0000,0.0000,0.0000,
