baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
tusk,22,7,none,4000,2,391.0750,0.0000,4000.0000,156.6862,
tusk,22,7,none,6000,2,586.6627,0.0000,6000.0000,165.6951,
tusk,22,7,none,8000,2,817.2701,0.0000,8000.0000,190.9218,
tusk,22,7,none,10000,2,1059.2032,0.0000,10000.0000,213.8913,
tusk,22,7,none,12000,2,258.7409,0.0000,5692.3000,177.6499,
tusk,22,7,none,15000,2,1465.6008,0.0000,15000.0000,310.4142,
tusk,22,7,none,20000,2,1976.8356,0.0000,20000.0000,388.7461,
tusk,22,7,none,25000,2,2004.0705,0.0000,25000.0000,365.0295,
tusk,22,7,none,30000,2,1868.1844,0.0000,30000.0000,390.0376,
tusk,22,7,none,40000,2,1972.0105,0.0000,40000.0000,386.8341,
tusk,22,7,none,50000,2,237.8318,0.0000,5232.3000,179.5628,
tusk,10,3,none,500,3,3041.7020,0.0000,500.0000,319.0130,
tusk,10,3,none,1000,3,3071.5408,0.0000,1000.0000,246.8296,
tusk,10,3,none,2000,3,3131.4631,0.0000,2000.0000,197.4807,
tusk,10,3,none,4000,3,3251.1155,0.0000,4000.0000,217.2534,
tusk,10,3,none,6000,3,3370.1097,0.0000,6000.0000,254.2163,
tusk,10,3,none,8000,3,3490.1129,0.0000,8000.0000,261.6513,
tusk,10,3,none,10000,3,3306.5579,0.0000,482.4545,811.5320,
tusk,10,3,none,12000,3,3728.9407,0.0000,12000.0000,324.2655,
tusk,10,3,none,15000,3,3748.8466,0.0000,15000.0000,344.2269,
tusk,10,3,none,20000,3,3735.9432,0.0000,15950.7500,334.8223,
tusk,10,3,none,25000,3,3737.5846,0.0000,15986.8611,341.1114,
tusk,10,3,none,30000,3,3748.6332,0.0000,16229.9306,335.0347,
tusk,10,3,none,40000,3,3747.5701,0.0000,16206.5417,338.9636,
tusk,10,3,none,50000,3,3740.5322,0.0000,16051.7083,329.8265,
tusk,16,5,none,500,3,42.4227,0.0000,500.0000,713.4830,
tusk,16,5,none,1000,3,86.0581,0.0000,1000.0000,348.4226,
tusk,16,5,none,2000,3,173.8269,0.0000,2000.0000,152.9721,
tusk,16,5,none,4000,3,347.4683,0.0000,4000.0000,139.8582,
tusk,16,5,none,6000,3,502.2504,0.0000,6000.0000,162.7891,
tusk,16,5,none,8000,3,153.7909,0.0000,3383.4000,150.0583,
tusk,16,5,none,10000,3,835.4301,0.0000,10000.0000,233.5805,
tusk,16,5,none,12000,3,1042.9026,0.0000,12000.0000,249.8075,
tusk,16,5,none,15000,3,1304.3733,0.0000,15000.0000,314.1034,
tusk,16,5,none,20000,3,234.7000,0.0000,5163.4000,152.8296,
tusk,16,5,none,25000,3,1380.1644,0.0000,25000.0000,302.6571,
tusk,16,5,none,30000,3,1382.2106,0.0000,30000.0000,321.6722,
tusk,16,5,none,40000,3,207.4364,0.0000,4563.6000,167.5890,
tusk,16,5,none,50000,3,1380.2409,0.0000,30365.3000,325.7564,
tusk,22,7,none,500,3,48.1790,0.0000,500.0000,1557.8827,
tusk,22,7,none,1000,3,95.9706,0.0000,1000.0000,708.0588,
tusk,22,7,none,2000,3,195.1703,0.0000,2000.0000,451.1462,
tusk,22,7,none,4000,3,165.6727,0.0000,3644.8000,165.1748,
tusk,22,7,none,6000,3,586.3593,0.0000,6000.0000,239.5791,
tusk,22,7,none,8000,3,807.2119,0.0000,8000.0000,208.8768,
tusk,22,7,none,10000,3,977.8524,0.0000,10000.0000,213.5646,
tusk,22,7,none,12000,3,1171.3367,0.0000,12000.0000,256.9100,
tusk,22,7,none,15000,3,1465.8988,0.0000,15000.0000,261.0067,
tusk,22,7,none,20000,3,1878.8463,0.0000,20000.0000,355.5821,
tusk,22,7,none,25000,3,1909.7419,0.0000,25000.0000,406.0437,
tusk,22,7,none,30000,3,1891.4313,0.0000,30000.0000,369.9419,
tusk,22,7,none,40000,3,1880.5056,0.0000,40000.0000,352.9245,
tusk,22,7,none,50000,3,167.4909,0.0000,3684.8000,126.4542,
tusk,10,3,none,500,4,531.9948,0.0000,500.0000,1193.4144,
tusk,10,3,none,1000,4,568.7639,0.0000,464.8727,6686.5539,
tusk,10,3,none,2000,4,621.8004,0.0000,2000.0000,1028.3030,
tusk,10,3,none,4000,4,741.3009,0.0000,4000.0000,1046.3512,
tusk,10,3,none,6000,4,860.4528,0.0000,6000.0000,1084.9852,
tusk,10,3,none,8000,4,979.7371,0.0000,8000.0000,1094.6678,
tusk,10,3,none,10000,4,1758.0066,0.0000,10000.0000,1119.1778,
tusk,10,3,none,12000,4,1219.8667,0.0000,12000.0000,1159.6220,
tusk,10,3,none,15000,4,1227.2191,0.0000,15000.0000,1155.7723,
tusk,10,3,none,20000,4,1230.5511,0.0000,16031.4375,1167.0516,
tusk,10,3,none,25000,4,1231.6414,0.0000,16052.1722,1156.7077,
tusk,10,3,none,30000,4,1238.5189,0.0000,16203.4778,1151.3705,
tusk,10,3,none,40000,4,596.2251,0.0000,1069.0182,6033.4860,
tusk,10,3,none,50000,4,1240.4059,0.0000,16244.9917,1175.3325,
tusk,16,5,none,500,4,42.8371,0.0000,500.0000,768.5042,
tusk,16,5,none,1000,4,162.9364,0.0000,1000.0000,140.3521,
tusk,16,5,none,2000,4,173.6390,0.0000,2000.0000,289.0397,
