baseline,n,f,mode,input_rate,rep,consensus_tps,consensus_latency_ms,execution_tps,execution_latency_ms,slots_committed
fairdag-bof,22,7,bof,500,3,178.4077,0.0000,31.5449,17747.9934,
fairdag-bof,22,7,bof,1000,3,175.6803,0.0000,27.3184,27643.2357,
fairdag-bof,22,7,bof,2000,3,167.3955,0.0000,29.2828,17668.4725,
fairdag-bof,22,7,bof,4000,3,303.8174,0.0000,26.8529,7219.7215,
fairdag-bof,22,7,bof,6000,3,104.5495,0.0000,31.8369,24928.1238,
fairdag-bof,22,7,bof,8000,3,188.8636,0.0000,43.7969,13052.3513,
fairdag-bof,22,7,bof,10000,3,150.9273,0.0000,25.0667,18096.3654,
fairdag-bof,22,7,bof,12000,3,136.5011,0.0000,25.1515,26484.5743,
fairdag-bof,22,7,bof,15000,3,177.3519,0.0000,29.9619,28782.9815,
fairdag-bof,10,3,bof,500,4,174.8951,0.0000,312.7911,8381.8611,
fairdag-bof,10,3,bof,1000,4,142.9101,0.0000,245.9111,10231.8296,
fairdag-bof,10,3,bof,2000,4,166.9107,0.0000,299.8472,8770.8481,
fairdag-bof,10,3,bof,4000,4,167.8024,0.0000,301.4306,8227.0200,
fairdag-bof,10,3,bof,6000,4,160.4052,0.0000,306.8387,8498.4874,
fairdag-bof,10,3,bof,8000,4,173.9238,0.0000,315.3208,8248.2339,
fairdag-bof,10,3,bof,10000,4,165.8260,0.0000,297.2444,8822.6184,
fairdag-bof,10,3,bof,12000,4,219.0847,0.0000,236.0125,12543.8646,
fairdag-bof,10,3,bof,15000,4,253.1884,157.7221,261.4471,12802.9914,
fairdag-bof,16,5,bof,500,4,159.1295,0.0000,47.3639,14432.6798,
fairdag-bof,16,5,bof,1000,4,83.4716,0.0000,40.4143,15839.2916,
fairdag-bof,16,5,bof,2000,4,103.6409,0.0000,39.2213,14919.3131,
fairdag-bof,16,5,bof,4000,4,74.4586,0.0000,27.3672,15754.3239,
fairdag-bof,16,5,bof,6000,4,78.7424,0.0000,37.8897,16652.2420,
fairdag-bof,16,5,bof,8000,4,72.9118,0.0000,34.2000,17613.8832,
fairdag-bof,16,5,bof,10000,4,35.0091,0.0000,48.2000,11784.1329,
fairdag-bof,16,5,bof,12000,4,78.2670,0.0000,27.9579,13670.5970,
fairdag-bof,16,5,bof,15000,4,70.0479,0.0000,26.3351,16613.0121,
fairdag-bof,22,7,bof,500,4,191.3395,0.0000,28.0043,30392.5125,
fairdag-bof,22,7,bof,1000,4,164.2379,0.0000,24.4444,10256.9192,
fairdag-bof,22,7,bof,2000,4,200.7745,0.0000,27.3803,17437.2952,
fairdag-bof,22,7,bof,4000,4,118.9646,0.0000,27.7665,31113.0378,
fairdag-bof,22,7,bof,6000,4,106.8188,0.0000,12.6804,22197.5272,
fairdag-bof,22,7,bof,8000,4,214.3062,0.0000,31.6051,19438.2309,
fairdag-bof,22,7,bof,10000,4,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,12000,4,194.2055,0.0000,23.9281,26462.8104,
fairdag-bof,22,7,bof,15000,4,162.7455,0.0000,17.8797,17955.4898,
fairdag-bof,10,3,bof,500,5,177.4441,0.0000,322.4979,7454.0046,
fairdag-bof,10,3,bof,1000,5,144.1051,0.0000,286.7283,7862.2340,
fairdag-bof,10,3,bof,2000,5,144.1321,0.0000,136.2628,12839.3642,
fairdag-bof,10,3,bof,4000,5,178.0028,0.0000,323.2224,7663.6730,
fairdag-bof,10,3,bof,6000,5,162.9209,0.0000,268.6582,9187.4155,
fairdag-bof,10,3,bof,8000,5,171.3390,0.0000,308.3329,7940.2803,
fairdag-bof,10,3,bof,10000,5,155.4232,0.0000,273.2923,8637.7615,
fairdag-bof,10,3,bof,12000,5,180.5741,0.0000,328.5902,7684.5698,
fairdag-bof,10,3,bof,15000,5,169.7528,0.0000,305.2531,7977.0630,
fairdag-bof,16,5,bof,500,5,115.5439,0.0000,48.6038,14971.1424,
fairdag-bof,16,5,bof,1000,5,64.4323,0.0000,21.1048,17517.8246,
fairdag-bof,16,5,bof,2000,5,66.7101,0.0000,24.5315,15188.7398,
fairdag-bof,16,5,bof,4000,5,94.6623,0.0000,34.9000,15887.4727,
fairdag-bof,16,5,bof,6000,5,78.0627,0.0000,53.2394,18987.2593,
fairdag-bof,16,5,bof,8000,5,77.4343,0.0000,38.3667,16797.7199,
fairdag-bof,16,5,bof,10000,5,90.0299,0.0000,30.4126,14018.8485,
fairdag-bof,16,5,bof,12000,5,83.7091,0.0000,31.2788,12971.3618,
fairdag-bof,16,5,bof,15000,5,134.1164,0.0000,40.5500,12446.1886,
fairdag-bof,22,7,bof,500,5,167.6879,0.0000,29.7744,19911.7728,
fairdag-bof,22,7,bof,1000,5,155.7273,0.0000,39.9607,28400.4297,
fairdag-bof,22,7,bof,2000,5,143.6208,0.0000,22.0000,23122.5763,
fairdag-bof,22,7,bof,4000,5,125.5580,0.0000,16.7391,16875.5588,
fairdag-bof,22,7,bof,6000,5,134.9585,0.0000,41.2124,32805.3333,
fairdag-bof,22,7,bof,8000,5,162.5623,0.0000,37.3075,24494.0266,
fairdag-bof,22,7,bof,10000,5,167.8591,0.0000,25.0521,38932.3089,
fairdag-bof,22,7,bof,12000,5,219.6000,0.0000,36.5791,27119.7839,
fairdag-bof,22,7,bof,15000,5,299.9143,0.0000,16.0807,14360.8368,
fairdag-bof,10,3,bof,8000,2,160.8099,0.0000,304.8361,7915.7325,
fairdag-bof,10,3,bof,20000,2,176.1097,0.0000,291.2704,8752.6597,
fairdag-bof,10,3,bof,25000,2,181.3859,0.0000,330.4521,7764.7352,
fairdag-bof,10,3,bof,30000,2,169.1033,0.0000,315.3727,7967.4949,
fairdag-bof,10,3,bof,40000,2,163.0788,0.0000,294.0355,8977.7258,
fairdag-bof,10,3,bof,50000,2,177.1510,0.0000,321.2704,7905.3441,
fairdag-bof,16,5,bof,20000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,25000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,30000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,40000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,50000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,20000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,25000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,30000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,40000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,50000,2,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,10,3,bof,20000,3,126.3041,0.0000,297.5089,9843.1097,
fairdag-bof,10,3,bof,25000,3,141.4958,0.0000,293.0602,8777.5264,
fairdag-bof,10,3,bof,30000,3,109.9686,0.0000,241.7483,10440.7435,
fairdag-bof,10,3,bof,40000,3,141.2639,0.0000,310.3115,9150.9933,
fairdag-bof,10,3,bof,50000,3,124.3675,0.0000,296.1261,8727.8329,
fairdag-bof,16,5,bof,20000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,25000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,16,5,bof,30000,3,90.0247,0.0000,23.8708,15687.1342,
fairdag-bof,16,5,bof,40000,3,156.0448,0.0000,110.7479,15119.4696,
fairdag-bof,16,5,bof,50000,3,105.2985,0.0000,36.5010,16485.2870,
fairdag-bof,22,7,bof,20000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,25000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,30000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,40000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,22,7,bof,50000,3,0.0000,0.0000,0.0000,0.0000,
fairdag-bof,10,3,bof,20000,4,129.6117,0.0000,306.5833,6867.8501,
fairdag-bof,10,3,bof,25000,4,88.4177,0.0000,53.1000,15082.8362,
fairdag-bof,10,3,bof,30000,4,145.5890,0.0000,321.3083,7124.3085,
